model,domain,perturbation,label,scoring_method,claim_count
internvl35_8b_hf,chart,blur_downscale,supported,rule_based,6
internvl35_8b_hf,chart,blur_downscale,unsupported,fallback_no_llm,12
internvl35_8b_hf,chart,blur_downscale,unsupported,rule_based,21
internvl35_8b_hf,chart,clean,supported,rule_based,40
internvl35_8b_hf,chart,crop_removal,supported,rule_based,35
internvl35_8b_hf,chart,crop_removal,unsupported,rule_based,5
internvl35_8b_hf,chart,distractor_text,supported,rule_based,36
internvl35_8b_hf,chart,distractor_text,unsupported,rule_based,4
internvl35_8b_hf,chart,jpeg_compression,supported,rule_based,4
internvl35_8b_hf,chart,jpeg_compression,unsupported,fallback_no_llm,3
internvl35_8b_hf,chart,jpeg_compression,unsupported,rule_based,33
internvl35_8b_hf,ocr_doc,blur_downscale,supported,rule_based,9
internvl35_8b_hf,ocr_doc,blur_downscale,unsupported,fallback_no_llm,9
internvl35_8b_hf,ocr_doc,blur_downscale,unsupported,rule_based,22
internvl35_8b_hf,ocr_doc,clean,supported,rule_based,40
internvl35_8b_hf,ocr_doc,crop_removal,supported,rule_based,27
internvl35_8b_hf,ocr_doc,crop_removal,unsupported,fallback_no_llm,2
internvl35_8b_hf,ocr_doc,crop_removal,unsupported,rule_based,11
internvl35_8b_hf,ocr_doc,distractor_text,supported,rule_based,34
internvl35_8b_hf,ocr_doc,distractor_text,unsupported,rule_based,6
internvl35_8b_hf,ocr_doc,jpeg_compression,supported,rule_based,1
internvl35_8b_hf,ocr_doc,jpeg_compression,unsupported,fallback_no_llm,5
internvl35_8b_hf,ocr_doc,jpeg_compression,unsupported,rule_based,34
internvl35_8b_hf,scientific_figure,blur_downscale,supported,rule_based,1
internvl35_8b_hf,scientific_figure,blur_downscale,unsupported,fallback_no_llm,9
internvl35_8b_hf,scientific_figure,blur_downscale,unsupported,rule_based,30
internvl35_8b_hf,scientific_figure,clean,supported,rule_based,40
internvl35_8b_hf,scientific_figure,crop_removal,supported,rule_based,31
internvl35_8b_hf,scientific_figure,crop_removal,unsupported,fallback_no_llm,5
internvl35_8b_hf,scientific_figure,crop_removal,unsupported,rule_based,4
internvl35_8b_hf,scientific_figure,distractor_text,supported,rule_based,40
internvl35_8b_hf,scientific_figure,jpeg_compression,supported,rule_based,3
internvl35_8b_hf,scientific_figure,jpeg_compression,unsupported,fallback_no_llm,22
internvl35_8b_hf,scientific_figure,jpeg_compression,unsupported,rule_based,15
qwen3_vl_4b,chart,blur_downscale,supported,rule_based,9
qwen3_vl_4b,chart,blur_downscale,unsupported,fallback_no_llm,5
qwen3_vl_4b,chart,blur_downscale,unsupported,rule_based,26
qwen3_vl_4b,chart,clean,supported,rule_based,39
qwen3_vl_4b,chart,clean,unsupported,rule_based,1
qwen3_vl_4b,chart,crop_removal,supported,rule_based,27
qwen3_vl_4b,chart,crop_removal,unsupported,rule_based,13
qwen3_vl_4b,chart,distractor_text,supported,rule_based,36
qwen3_vl_4b,chart,distractor_text,unsupported,rule_based,4
qwen3_vl_4b,chart,jpeg_compression,unsupported,fallback_no_llm,21
